customer_id,first_name,last_name,email,phone_number,birth_date
59,Patricia,Zhang,gardnerjoe@quinn.com,+1-578-928-9762x773,1952-06-03
60,Willie,Dunn,nicholsdavid@yahoo.com,+1-650-211-0132x71022,1969-10-19
61,Christina,Walker,dwelch@gmail.com,775.733.6746x639,1963-07-02
62,Denise,Savage,alexanderstewart@gmail.com,(990)909-5217x9915,1968-11-26
63,,Santana,johnsonlori@russo-pollard.com,001-864-935-5058,2001-05-14
64,Nicole,Hall,qmooney@hotmail.com,,1983-05-06
65,Andrew,Johnson,jaredchandler@harris.com,026.890.0832x46018,1985-11-30
66,Laurie,Espinoza,alexis28@yahoo.com,027.123.4156x38903,1992-12-05
67,Michael,Smith,,001-738-073-4386x113,1971-06-21
68,Steven,Lee,luismcmahon@edwards.org,,1957-02-21
69,Dakota,Price,darrell88@hernandez.net,638.926.6728x03548,1977-02-24
70,David,Maxwell,peter11@blackwell.net,,1947-02-03
71,Patrick,Ferguson,kristin35@anderson.net,(124)595-5681x57093,1943-07-13
72,John,Nelson,lindsey05@woods.com,594-057-4794x2838,1962-03-15
73,Mary,Webb,jsullivan@huff-singh.com,001-990-814-4424x22693,1948-07-02
74,William,Craig,denise12@yahoo.com,(710)213-5513x5635,1944-08-09
75,Michelle,Dean,armstrongjoseph@yahoo.com,422-890-7423x116,1984-08-17
76,Ronnie,Pena,fmontoya@hotmail.com,001-250-088-9615x45014,1976-12-27
77,Albert,Smith,jonathon51@bell-lewis.info,,1975-11-27
78,Debra,Miller,nathanmartinez@hotmail.com,8747951084,1988-02-16
79,,,,282-912-9966x937,1969-09-26
80,Kathy,Walker,michael66@williams-randall.net,001-054-136-2263x812,1997-05-29
81,Jessica,Duffy,utaylor@yahoo.com,786-823-4592x85561,1976-02-16
82,Gail,Eaton,,(874)524-0686x43714,1980-10-02
83,John,Miller,kennedymatthew@spears-rodriguez.com,(845)703-8678,1937-09-19
84,Ronald,Baker,eking@gmail.com,(322)612-3874,1980-01-07
85,Alicia,Hernandez,fmoore@yahoo.com,699.062.3956x802,1983-05-03
86,Benjamin,Robbins,vtaylor@thompson.org,470.444.3739,1964-05-07
87,John,White,,(141)477-6306,1993-06-19
88,,Hess,bakermelissa@yahoo.com,001-669-195-3144x16106,1957-08-14
89,Juan,Rodriguez,,,1976-07-05
90,Luis,Pearson,castillocassandra@leonard.com,231-231-0591x098,1954-07-16
91,Ryan,Compton,millerashley@hotmail.com,(515)418-3408,1959-03-01
92,Anthony,Rodriguez,courtneysimpson@yahoo.com,073-340-7717x77267,1961-03-17
93,Robert,Frye,,(804)314-7364x364,1972-03-30
94,Crystal,Brown,sgraham@yahoo.com,001-870-324-4019x41325,1950-08-07
95,Michael,Pollard,stephensdustin@yahoo.com,520-028-6038x2062,1993-07-15
96,,Gentry,,232.963.6483,1935-12-30
97,Shannon,Franklin,wrobbins@morgan.com,,1975-12-24
98,Miranda,Nichols,larapatricia@cordova-martin.info,,2006-02-01
99,Harry,Simmons,chambersdebra@yahoo.com,719-631-9411,1940-11-11
100,Michael,Smith,michaelgeorge@garcia.com,002-938-5318x888,
